55,61,65,64,1
68,68,69,87,0
67,61,62,68,1
74,72,62,71,0
68,69,68,65,3
61,68,55,59,3
59,67,70,67,2
71,59,68,52,3
58,70,68,70,2
61,64,69,60,2
77,69,73,69,0
65,65,63,59,3
55,61,65,64,1
59,68,70,72,2
59,64,77,76,1
59,61,72,67,2
59,66,71,72,2
60,75,69,75,2
63,75,52,72,0
61,64,66,68,2
88,58,61,57,3
69,58,58,66,0
70,59,60,68,0
63,61,78,70,2
63,63,77,69,1
68,57,69,68,0
64,60,55,63,3
68,61,68,53,3
71,64,72,64,0
61,66,56,58,3
66,69,61,54,3
64,60,77,65,1
61,68,61,71,0
72,60,61,52,3
69,64,58,68,0
60,64,55,55,3
60,78,69,73,1
71,60,77,65,1
61,82,70,71,2
68,73,66,70,1
66,65,64,52,3
68,56,83,76,2
60,60,66,64,1
67,69,62,64,0
59,58,70,82,1
56,53,75,64,1
62,66,61,55,3
67,67,72,73,2
75,65,60,57,3
67,66,82,74,2
69,60,57,70,0
60,61,83,61,2
60,59,76,68,2
66,73,58,54,3
66,64,80,63,3
66,70,55,66,3
64,63,57,68,3
76,61,62,57,3
69,69,64,54,3
69,73,61,69,1
74,64,69,75,3
62,64,68,80,1
64,63,59,60,3
65,61,65,80,1
66,65,71,57,2
57,54,67,64,1
64,65,62,59,3
69,59,64,67,0
60,64,69,77,1
66,60,64,57,3
64,67,88,68,0
59,66,82,68,2
65,60,71,59,2
64,58,62,52,3
59,52,66,65,1
54,61,68,64,1
63,61,55,63,3
61,66,67,50,3
81,64,77,60,1
64,63,67,53,3
67,65,62,58,3
55,58,69,62,1
63,70,60,62,0
58,68,88,62,1
66,59,61,52,3
71,69,77,65,0
65,71,52,77,0
66,62,73,68,2
67,56,70,72,2
61,65,69,71,2
53,66,71,63,1
58,78,67,79,1
68,67,68,75,0
62,59,71,58,2
59,73,61,75,2
59,63,64,64,2
64,61,80,71,2
62,70,60,64,0
73,76,60,66,0
69,71,70,75,0
57,62,72,63,1
67,58,57,63,0
65,59,69,75,1
67,65,64,54,3
59,79,81,73,1
71,69,83,62,0
65,70,52,73,0
64,60,51,74,0
54,58,76,65,1
71,71,62,75,1
68,59,78,74,1
68,56,71,74,2
54,61,78,65,1
54,60,69,72,1
65,65,74,56,2
63,60,71,57,2
58,76,72,65,2
71,63,62,65,0
68,73,73,63,3
65,71,51,68,0
64,63,57,51,3
64,68,60,54,3
74,58,61,52,3
64,73,62,69,2
74,62,80,61,1
67,61,62,67,1
62,65,50,65,0
63,68,68,58,0
75,68,79,62,0
68,64,67,63,0
86,80,71,72,0
79,64,61,54,3
60,64,70,69,0
68,58,58,65,0
67,59,59,53,3
62,60,56,53,3
68,66,68,78,0
68,70,56,63,3
62,62,63,65,0
62,77,59,54,3
63,67,63,55,3
67,66,66,79,0
60,60,52,71,0
63,64,63,71,2
67,71,64,54,3
68,65,79,72,2
60,66,68,71,2
70,65,62,67,0
64,58,61,54,3
60,65,54,58,3
68,64,72,76,2
68,70,59,65,3
60,69,52,71,0
65,66,63,61,0
59,70,68,75,2
69,56,70,73,2
58,62,72,62,1
59,79,69,65,2
68,66,72,65,0
67,65,70,74,2
63,65,61,53,3
65,72,52,73,0
61,60,70,59,2
61,58,75,68,2
74,56,71,74,2
58,77,69,68,2
63,59,84,65,2
61,71,51,74,0
70,57,78,68,1
59,71,69,72,2
69,65,72,67,3
58,64,67,71,2
64,74,60,70,0
72,64,78,63,0
55,61,82,63,1
59,59,73,69,1
68,62,59,65,0
68,62,75,71,2
59,66,71,67,2
62,69,59,62,0
68,62,69,68,0
61,59,52,67,0
62,77,61,55,3
69,72,76,62,3
59,69,71,71,2
61,63,57,51,3
59,66,69,71,2
62,57,73,65,2
70,60,58,62,0
